<mfield>
       <description name="solenoid_ptarget" factory="ASCII" comment="solenoid_ptarget"/>
       <symmetry type="cylindrical-x" format="map" integration="RungeKutta" minStep="1*mm"/>
       <map>
               <coordinate>
                       <first  name="transverse" npoints="200"   min="0"  max="199"  units="cm"/>
                       <second name="longitudinal"   npoints="401"  min="-200" max="200"  units="cm"/>
               </coordinate>
               <field unit="gauss"/>
               <interpolation type="none"/>
               <shift z="-350" units="cm"/>
       </map>
</mfield>
0.000 -18.000 34.9 15774.8
0.000 -17.000 31.7 19671.1
0.000 -16.000 26.8 23778.6
0.000 -15.000 18.8 28035
0.000 -14.000 8.5 32308.8
0.000 -13.000 -1.5 36390.5
0.000 -12.000 -8.6 40044.5
0.000 -11.000 -12 43089.1
0.000 -10.000 -12.7 45452
0.000 -9.000 -11.9 47169.9
0.000 -8.000 -10.5 48348.3
0.000 -7.000 -8.9 49114.1
0.000 -6.000 -7.4 49584.8
0.000 -5.000 -6 49856.1
0.000 -4.000 -4.6 49999.8
0.000 -3.000 -3.4 50067.3
0.000 -2.000 -2.2 50093.5
0.000 -1.000 -1.1 50101
0.000 0.000 0 50102.1
0.000 1.000 1.1 50101
0.000 2.000 2.2 50093.5
0.000 3.000 3.4 50067.3
0.000 4.000 4.6 49999.8
0.000 5.000 6 49856.1
0.000 6.000 7.4 49584.8
0.000 7.000 8.9 49114.1
0.000 8.000 10.5 48348.3
0.000 9.000 11.9 47169.9
0.000 10.000 12.7 45452
0.000 11.000 12 43089.1
0.000 12.000 8.6 40044.5
0.000 13.000 1.5 36390.5
0.000 14.000 -8.5 32308.8
0.000 15.000 -18.8 28035
0.000 16.000 -26.8 23778.6
0.000 17.000 -31.7 19671.1
0.000 18.000 -34.9 15774.8
0.000 19.000 -37.8 12126.4
0.000 20.000 -41.3 8770.7
0.000 21.000 -45.3 5765.8
0.000 22.000 -49 3168.4
0.000 23.000 -51.3 1014.4
0.000 24.000 -51.9 692.7
0.000 25.000 -50.6 1981.6
0.000 26.000 -47.8 2904.4
0.000 27.000 -44 3524.4
0.000 28.000 -39.8 3905.3
0.000 29.000 -35.5 4104.9
0.000 30.000 -31.4 4171.6
0.000 31.000 -27.6 4144.1
0.000 32.000 -24.1 4052
0.000 33.000 -21.1 3917.6
0.000 34.000 -18.4 3757.1
0.000 35.000 -16.1 3582.2
0.000 36.000 -14.1 3401.2
0.000 37.000 -12.4 3219.7
0.000 38.000 -10.9 3041.5
0.000 39.000 -9.6 2869.2
0.000 40.000 -8.5 2704.3
0.000 41.000 -7.5 2547.7
0.000 42.000 -6.7 2399.6
0.000 43.000 -6 2260.4
0.000 44.000 -5.4 2129.7
0.000 45.000 -4.8 2007.3
0.000 46.000 -4.3 1892.9
0.000 47.000 -3.9 1786.1
0.000 48.000 -3.5 1686.3
0.000 49.000 -3.2 1593.1
0.000 50.000 -2.9 1506.2
0.000 51.000 -2.7 1425
0.000 52.000 -2.4 1349.2
0.000 53.000 -2.2 1278.4
0.000 54.000 -2 1212.2
0.000 55.000 -1.9 1150.3
0.000 56.000 -1.7 1092.4
