
      Q2           X            U            D          UBAR         DBAR          S
  3.1620E+02   1.7800E-02   4.1704E+00  -2.7715E+00   5.1144E-01  -1.1436E+00  -1.0986E-01
  3.1620E+02   2.3700E-02   3.8393E+00  -2.3874E+00   3.5511E-01  -9.4563E-01  -4.5356E-03
  3.1620E+02   3.1600E-02   3.5357E+00  -2.0415E+00   2.2663E-01  -7.6521E-01   6.2559E-02
  3.1620E+02   4.2200E-02   3.2481E+00  -1.7280E+00   1.2607E-01  -5.9940E-01   9.9297E-02
  3.1620E+02   5.6200E-02   2.9673E+00  -1.4461E+00   5.4073E-02  -4.5001E-01   1.1198E-01
  3.1620E+02   7.5000E-02   2.6735E+00  -1.1864E+00   7.5263E-03  -3.1638E-01   1.0655E-01
  3.1620E+02   1.0000E-01   2.3550E+00  -9.4798E-01  -1.6337E-02  -2.0385E-01   8.8293E-02
  3.1620E+02   1.3300E-01   2.0032E+00  -7.2938E-01  -2.2930E-02  -1.1691E-01   6.3199E-02
  3.1620E+02   1.7800E-01   1.6041E+00  -5.2360E-01  -1.8823E-02  -5.5776E-02   3.6917E-02
  3.1620E+02   2.3700E-01   1.1845E+00  -3.4206E-01  -1.0857E-02  -2.1215E-02   1.6564E-02
  3.1620E+02   3.1600E-01   7.6411E-01  -1.8923E-01  -4.1246E-03  -5.6233E-03   4.8890E-03
  3.1620E+02   4.2200E-01   3.9077E-01  -7.8600E-02  -8.1482E-04  -8.1712E-04   7.2195E-04
  3.1620E+02   5.6200E-01   1.2919E-01  -1.9426E-02  -4.7937E-05  -3.8316E-05   3.1297E-05
  3.1620E+02   7.5000E-01   1.3522E-02  -1.2774E-03  -8.2989E-08  -1.5931E-07  -1.9203E-09
  3.1620E+02   1.0000E+00   8.2283E-07   2.4125E-07   5.0317E-10   4.0616E-10  -5.1076E-10
  1.0000E+03   1.0000E-05   8.0397E+01  -1.1261E+02   5.0660E+01  -2.0874E+02  -4.3341E+02
  1.0000E+03   1.3300E-05   6.9241E+01  -9.7378E+01   4.1945E+01  -1.6732E+02  -3.4219E+02
  1.0000E+03   1.7800E-05   5.9872E+01  -8.4030E+01   3.4841E+01  -1.3359E+02  -2.6865E+02
  1.0000E+03   2.3700E-05   5.2240E+01  -7.2770E+01   2.9240E+01  -1.0720E+02  -2.1170E+02
  1.0000E+03   3.1600E-05   4.5812E+01  -6.3033E+01   2.4682E+01  -8.6014E+01  -1.6651E+02
  1.0000E+03   4.2200E-05   4.0350E+01  -5.4603E+01   2.0943E+01  -6.9014E+01  -1.3069E+02
  1.0000E+03   5.6200E-05   3.5737E+01  -4.7404E+01   1.7896E+01  -5.5562E+01  -1.0270E+02
  1.0000E+03   7.5000E-05   3.1740E+01  -4.1144E+01   1.5347E+01  -4.4725E+01  -8.0468E+01
  1.0000E+03   1.0000E-04   2.8288E+01  -3.5752E+01   1.3217E+01  -3.6083E+01  -6.3001E+01
  1.0000E+03   1.3300E-04   2.5300E+01  -3.1125E+01   1.1432E+01  -2.9215E+01  -4.9344E+01
  1.0000E+03   1.7800E-04   2.2619E+01  -2.7032E+01   9.8763E+00  -2.3593E+01  -3.8357E+01
  1.0000E+03   2.3700E-04   2.0296E+01  -2.3549E+01   8.5647E+00  -1.9166E+01  -2.9874E+01
  1.0000E+03   3.1600E-04   1.8226E+01  -2.0511E+01   7.4240E+00  -1.5592E+01  -2.3166E+01
  1.0000E+03   4.2200E-04   1.6375E+01  -1.7859E+01   6.4260E+00  -1.2705E+01  -1.7872E+01
  1.0000E+03   5.6200E-04   1.4739E+01  -1.5575E+01   5.5612E+00  -1.0404E+01  -1.3760E+01
  1.0000E+03   7.5000E-04   1.3267E+01  -1.3572E+01   4.7956E+00  -8.5351E+00  -1.0516E+01
  1.0000E+03   1.0000E-03   1.1953E+01  -1.1834E+01   4.1228E+00  -7.0308E+00  -7.9885E+00
  1.0000E+03   1.3300E-03   1.0785E+01  -1.0329E+01   3.5328E+00  -5.8227E+00  -6.0330E+00
  1.0000E+03   1.7800E-03   9.7172E+00  -8.9879E+00   2.9990E+00  -4.8209E+00  -4.4800E+00
  1.0000E+03   2.3700E-03   8.7781E+00  -7.8369E+00   2.5343E+00  -4.0200E+00  -3.2998E+00
  1.0000E+03   3.1600E-03   7.9337E+00  -6.8246E+00   2.1202E+00  -3.3612E+00  -2.3850E+00
  1.0000E+03   4.2200E-03   7.1753E+00  -5.9333E+00   1.7515E+00  -2.8162E+00  -1.6809E+00
  1.0000E+03   5.6200E-03   6.5053E+00  -5.1592E+00   1.4286E+00  -2.3689E+00  -1.1511E+00
  1.0000E+03   7.5000E-03   5.9040E+00  -4.4742E+00   1.1421E+00  -1.9917E+00  -7.4997E-01
  1.0000E+03   1.0000E-02   5.3704E+00  -3.8733E+00   8.9212E-01  -1.6733E+00  -4.5396E-01
  1.0000E+03   1.3300E-02   4.8988E+00  -3.3476E+00   6.7717E-01  -1.4020E+00  -2.4085E-01
  1.0000E+03   1.7800E-02   4.4676E+00  -2.8724E+00   4.8965E-01  -1.1601E+00  -8.7748E-02
  1.0000E+03   2.3700E-02   4.0851E+00  -2.4580E+00   3.3602E-01  -9.4956E-01   1.2877E-02
  1.0000E+03   3.1600E-02   3.7315E+00  -2.0864E+00   2.1139E-01  -7.5951E-01   7.5260E-02
  1.0000E+03   4.2200E-02   3.3951E+00  -1.7514E+00   1.1536E-01  -5.8716E-01   1.0754E-01
  1.0000E+03   5.6200E-02   3.0675E+00  -1.4523E+00   4.7869E-02  -4.3444E-01   1.1630E-01
  1.0000E+03   7.5000E-02   2.7288E+00  -1.1791E+00   5.2485E-03  -3.0048E-01   1.0769E-01
  1.0000E+03   1.0000E-01   2.3695E+00  -9.3114E-01  -1.5842E-02  -1.9014E-01   8.7244E-02
  1.0000E+03   1.3300E-01   1.9838E+00  -7.0689E-01  -2.1056E-02  -1.0691E-01   6.1128E-02
  1.0000E+03   1.7800E-01   1.5601E+00  -4.9943E-01  -1.6809E-02  -4.9868E-02   3.4916E-02
  1.0000E+03   2.3700E-01   1.1290E+00  -3.2030E-01  -9.4681E-03  -1.8501E-02   1.5306E-02
  1.0000E+03   3.1600E-01   7.1126E-01  -1.7328E-01  -3.5024E-03  -4.7606E-03   4.4099E-03
  1.0000E+03   4.2200E-01   3.5325E-01  -7.0000E-02  -6.6667E-04  -6.6374E-04   6.3784E-04
  1.0000E+03   5.6200E-01   1.1235E-01  -1.6674E-02  -3.6423E-05  -2.8585E-05   2.7970E-05
  1.0000E+03   7.5000E-01   1.1049E-02  -1.0323E-03  -1.7412E-08  -8.8087E-08   3.2528E-08
  1.0000E+03   1.0000E+00  -1.0066E-07   1.9454E-07   5.5856E-10   4.2192E-10  -3.7310E-10
  3.1620E+03   1.0000E-05   8.4738E+01  -1.2250E+02   5.0710E+01  -2.1596E+02  -4.4185E+02
  3.1620E+03   1.3300E-05   7.3123E+01  -1.0608E+02   4.1901E+01  -1.7346E+02  -3.4903E+02
  3.1620E+03   1.7800E-05   6.3374E+01  -9.1622E+01   3.4761E+01  -1.3878E+02  -2.7414E+02
  3.1620E+03   2.3700E-05   5.5432E+01  -7.9377E+01   2.9160E+01  -1.1156E+02  -2.1609E+02
  3.1620E+03   3.1600E-05   4.8737E+01  -6.8755E+01   2.4620E+01  -8.9679E+01  -1.7001E+02
  3.1620E+03   4.2200E-05   4.3039E+01  -5.9537E+01   2.0908E+01  -7.2076E+01  -1.3344E+02
  3.1620E+03   5.6200E-05   3.8214E+01  -5.1652E+01   1.7888E+01  -5.8117E+01  -1.0486E+02
  3.1620E+03   7.5000E-05   3.4021E+01  -4.4786E+01   1.5363E+01  -4.6848E+01  -8.2142E+01
  3.1620E+03   1.0000E-04   3.0387E+01  -3.8869E+01   1.3253E+01  -3.7844E+01  -6.4288E+01
  3.1620E+03   1.3300E-04   2.7230E+01  -3.3789E+01   1.1481E+01  -3.0675E+01  -5.0324E+01
  3.1620E+03   1.7800E-04   2.4387E+01  -2.9296E+01   9.9337E+00  -2.4795E+01  -3.9088E+01
  3.1620E+03   2.3700E-04   2.1914E+01  -2.5474E+01   8.6251E+00  -2.0157E+01  -3.0412E+01
  3.1620E+03   3.1600E-04   1.9702E+01  -2.2142E+01   7.4833E+00  -1.6407E+01  -2.3553E+01
  3.1620E+03   4.2200E-04   1.7716E+01  -1.9236E+01   6.4808E+00  -1.3372E+01  -1.8141E+01
  3.1620E+03   5.6200E-04   1.5956E+01  -1.6737E+01   5.6092E+00  -1.0950E+01  -1.3940E+01
  3.1620E+03   7.5000E-04   1.4366E+01  -1.4549E+01   4.8352E+00  -8.9796E+00  -1.0628E+01
  3.1620E+03   1.0000E-03   1.2943E+01  -1.2652E+01   4.1531E+00  -7.3916E+00  -8.0515E+00
  3.1620E+03   1.3300E-03   1.1676E+01  -1.1013E+01   3.5538E+00  -6.1145E+00  -6.0603E+00
  3.1620E+03   1.7800E-03   1.0513E+01  -9.5540E+00   3.0108E+00  -5.0542E+00  -4.4819E+00
  3.1620E+03   2.3700E-03   9.4880E+00  -8.3046E+00   2.5378E+00  -4.2055E+00  -3.2850E+00
  3.1620E+03   3.1600E-03   8.5641E+00  -7.2079E+00   2.1164E+00  -3.5065E+00  -2.3599E+00
  3.1620E+03   4.2200E-03   7.7321E+00  -6.2443E+00   1.7416E+00  -2.9278E+00  -1.6503E+00
  3.1620E+03   5.6200E-03   6.9949E+00  -5.4091E+00   1.4142E+00  -2.4524E+00  -1.1187E+00
  3.1620E+03   7.5000E-03   6.3309E+00  -4.6717E+00   1.1246E+00  -2.0514E+00  -7.1825E-01
  3.1620E+03   1.0000E-02   5.7393E+00  -4.0265E+00   8.7319E-01  -1.7133E+00  -4.2474E-01
  3.1620E+03   1.3300E-02   5.2139E+00  -3.4633E+00   6.5826E-01  -1.4256E+00  -2.1526E-01
  3.1620E+03   1.7800E-02   4.7310E+00  -2.9558E+00   4.7216E-01  -1.1702E+00  -6.6524E-02
  3.1620E+03   2.3700E-02   4.3001E+00  -2.5147E+00   3.2106E-01  -9.4913E-01   2.9536E-02
  3.1620E+03   3.1600E-02   3.9000E+00  -2.1208E+00   1.9979E-01  -7.5140E-01   8.7365E-02
  3.1620E+03   4.2200E-02   3.5188E+00  -1.7675E+00   1.0752E-01  -5.7420E-01   1.1535E-01
  3.1620E+03   5.6200E-02   3.1487E+00  -1.4539E+00   4.3642E-02  -4.1945E-01   1.2038E-01
  3.1620E+03   7.5000E-02   2.7702E+00  -1.1698E+00   4.0421E-03  -2.8600E-01   1.0877E-01
  3.1620E+03   1.0000E-01   2.3757E+00  -9.1440E-01  -1.5022E-02  -1.7815E-01   8.6318E-02
  3.1620E+03   1.3300E-01   1.9617E+00  -6.8611E-01  -1.9330E-02  -9.8450E-02   5.9307E-02
  3.1620E+03   1.7800E-01   1.5184E+00  -4.7802E-01  -1.5122E-02  -4.5030E-02   3.3191E-02
  3.1620E+03   2.3700E-01   1.0795E+00  -3.0161E-01  -8.3543E-03  -1.6343E-02   1.4249E-02
  3.1620E+03   3.1600E-01   6.6604E-01  -1.5998E-01  -3.0191E-03  -4.0942E-03   4.0188E-03
  3.1620E+03   4.2200E-01   3.2235E-01  -6.3052E-02  -5.5520E-04  -5.4902E-04   5.7120E-04
  3.1620E+03   5.6200E-01   9.9067E-02  -1.4535E-02  -2.8161E-05  -2.1641E-05   2.5328E-05
  3.1620E+03   7.5000E-01   9.2170E-03  -8.5295E-04   2.3400E-08  -4.1177E-08   5.3913E-08
  3.1620E+03   1.0000E+00  -5.7096E-07   1.5580E-07   6.0013E-10   4.2643E-10  -2.6995E-10
  1.0000E+04   1.0000E-05   8.8119E+01  -1.3274E+02   4.9864E+01  -2.2355E+02  -4.5042E+02
  1.0000E+04   1.3300E-05   7.6230E+01  -1.1500E+02   4.1145E+01  -1.7987E+02  -3.5596E+02
  1.0000E+04   1.7800E-05   6.6253E+01  -9.9332E+01   3.4121E+01  -1.4414E+02  -2.7968E+02
  1.0000E+04   2.3700E-05   5.8121E+01  -8.6034E+01   2.8638E+01  -1.1606E+02  -2.2052E+02
  1.0000E+04   3.1600E-05   5.1253E+01  -7.4478E+01   2.4211E+01  -9.3423E+01  -1.7352E+02
  1.0000E+04   4.2200E-05   4.5394E+01  -6.4437E+01   2.0601E+01  -7.5183E+01  -1.3620E+02
  1.0000E+04   5.6200E-05   4.0417E+01  -5.5841E+01   1.7666E+01  -6.0691E+01  -1.0702E+02
  1.0000E+04   7.5000E-05   3.6076E+01  -4.8354E+01   1.5212E+01  -4.8972E+01  -8.3810E+01
  1.0000E+04   1.0000E-04   3.2298E+01  -4.1902E+01   1.3158E+01  -3.9592E+01  -6.5566E+01
  1.0000E+04   1.3300E-04   2.9002E+01  -3.6366E+01   1.1428E+01  -3.2113E+01  -5.1293E+01
  1.0000E+04   1.7800E-04   2.6021E+01  -3.1472E+01   9.9122E+00  -2.5970E+01  -3.9808E+01
  1.0000E+04   2.3700E-04   2.3416E+01  -2.7313E+01   8.6244E+00  -2.1119E+01  -3.0939E+01
  1.0000E+04   3.1600E-04   2.1077E+01  -2.3692E+01   7.4955E+00  -1.7191E+01  -2.3930E+01
  1.0000E+04   4.2200E-04   1.8970E+01  -2.0537E+01   6.4997E+00  -1.4009E+01  -1.8402E+01
  1.0000E+04   5.6200E-04   1.7095E+01  -1.7828E+01   5.6300E+00  -1.1466E+01  -1.4113E+01
  1.0000E+04   7.5000E-04   1.5396E+01  -1.5460E+01   4.8546E+00  -9.3961E+00  -1.0735E+01
  1.0000E+04   1.0000E-03   1.3871E+01  -1.3410E+01   4.1689E+00  -7.7263E+00  -8.1101E+00
  1.0000E+04   1.3300E-03   1.2510E+01  -1.1643E+01   3.5647E+00  -6.3824E+00  -6.0844E+00
  1.0000E+04   1.7800E-03   1.1257E+01  -1.0072E+01   3.0160E+00  -5.2658E+00  -4.4815E+00
  1.0000E+04   2.3700E-03   1.0151E+01  -8.7300E+00   2.5376E+00  -4.3715E+00  -3.2688E+00
  1.0000E+04   3.1600E-03   9.1509E+00  -7.5539E+00   2.1111E+00  -3.6346E+00  -2.3341E+00
  1.0000E+04   4.2200E-03   8.2485E+00  -6.5227E+00   1.7320E+00  -3.0244E+00  -1.6196E+00
  1.0000E+04   5.6200E-03   7.4469E+00  -5.6308E+00   1.4014E+00  -2.5230E+00  -1.0865E+00
  1.0000E+04   7.5000E-03   6.7230E+00  -4.8451E+00   1.1098E+00  -2.1005E+00  -6.8703E-01
  1.0000E+04   1.0000E-02   6.0759E+00  -4.1592E+00   8.5743E-01  -1.7445E+00  -3.9619E-01
  1.0000E+04   1.3300E-02   5.4992E+00  -3.5621E+00   6.4281E-01  -1.4426E+00  -1.9040E-01
  1.0000E+04   1.7800E-02   4.9671E+00  -3.0255E+00   4.5811E-01  -1.1754E+00  -4.6042E-02
  1.0000E+04   2.3700E-02   4.4907E+00  -2.5608E+00   3.0927E-01  -9.4561E-01   4.5503E-02
  1.0000E+04   3.1600E-02   4.0470E+00  -2.1473E+00   1.9088E-01  -7.4177E-01   9.8869E-02
  1.0000E+04   4.2200E-02   3.6242E+00  -1.7782E+00   1.0173E-01  -5.6101E-01   1.2269E-01
  1.0000E+04   5.6200E-02   3.2154E+00  -1.4525E+00   4.0752E-02  -4.0519E-01   1.2416E-01
  1.0000E+04   7.5000E-02   2.8012E+00  -1.1593E+00   3.5047E-03  -2.7280E-01   1.0973E-01
  1.0000E+04   1.0000E-01   2.3759E+00  -8.9805E-01  -1.4055E-02  -1.6758E-01   8.5451E-02
  1.0000E+04   1.3300E-01   1.9379E+00  -6.6689E-01  -1.7765E-02  -9.1203E-02   5.7665E-02
  1.0000E+04   1.7800E-01   1.4790E+00  -4.5887E-01  -1.3692E-02  -4.0993E-02   3.1676E-02
  1.0000E+04   2.3700E-01   1.0350E+00  -2.8533E-01  -7.4430E-03  -1.4588E-02   1.3344E-02
  1.0000E+04   3.1600E-01   6.2681E-01  -1.4869E-01  -2.6343E-03  -3.5660E-03   3.6928E-03
  1.0000E+04   4.2200E-01   2.9640E-01  -5.7317E-02  -4.6901E-04  -4.6080E-04   5.1697E-04
  1.0000E+04   5.6200E-01   8.8328E-02  -1.2830E-02  -2.2066E-05  -1.6552E-05   2.3149E-05
  1.0000E+04   7.5000E-01   7.8182E-03  -7.1735E-04   4.8634E-08  -1.0092E-08   6.6588E-08
  1.0000E+04   1.0000E+00  -7.9609E-07   1.2465E-07   6.2895E-10   4.2047E-10  -1.9364E-10
  3.1620E+04   1.0000E-05   9.0679E+01  -1.4324E+02   4.8259E+01  -2.3145E+02  -4.5912E+02
  3.1620E+04   1.3300E-05   7.8679E+01  -1.2408E+02   3.9794E+01  -1.8650E+02  -3.6297E+02
  3.1620E+04   1.7800E-05   6.8607E+01  -1.0713E+02   3.3017E+01  -1.4966E+02  -2.8528E+02
  3.1620E+04   2.3700E-05   6.0386E+01  -9.2718E+01   2.7754E+01  -1.2065E+02  -2.2498E+02
  3.1620E+04   3.1600E-05   5.3429E+01  -8.0184E+01   2.3521E+01  -9.7225E+01  -1.7704E+02
  3.1620E+04   4.2200E-05   4.7473E+01  -6.9291E+01   2.0075E+01  -7.8316E+01  -1.3896E+02
  3.1620E+04   5.6200E-05   4.2394E+01  -5.9966E+01   1.7276E+01  -6.3271E+01  -1.0917E+02
  3.1620E+04   7.5000E-05   3.7945E+01  -5.1847E+01   1.4931E+01  -5.1086E+01  -8.5466E+01
  3.1620E+04   1.0000E-04   3.4055E+01  -4.4855E+01   1.2963E+01  -4.1321E+01  -6.6829E+01
  3.1620E+04   1.3300E-04   3.0644E+01  -3.8860E+01   1.1298E+01  -3.3526E+01  -5.2246E+01
  3.1620E+04   1.7800E-04   2.7545E+01  -3.3566E+01   9.8319E+00  -2.7116E+01  -4.0512E+01
  3.1620E+04   2.3700E-04   2.4825E+01  -2.9073E+01   8.5789E+00  -2.2049E+01  -3.1453E+01
  3.1620E+04   3.1600E-04   2.2371E+01  -2.5167E+01   7.4739E+00  -1.7944E+01  -2.4295E+01
  3.1620E+04   4.2200E-04   2.0152E+01  -2.1769E+01   6.4934E+00  -1.4615E+01  -1.8652E+01
  3.1620E+04   5.6200E-04   1.8170E+01  -1.8856E+01   5.6323E+00  -1.1954E+01  -1.4278E+01
  3.1620E+04   7.5000E-04   1.6369E+01  -1.6313E+01   4.8607E+00  -9.7862E+00  -1.0835E+01
  3.1620E+04   1.0000E-03   1.4748E+01  -1.4116E+01   4.1754E+00  -8.0369E+00  -8.1630E+00
  3.1620E+04   1.3300E-03   1.3296E+01  -1.2226E+01   3.5694E+00  -6.6284E+00  -6.1041E+00
  3.1620E+04   1.7800E-03   1.1958E+01  -1.0549E+01   3.0177E+00  -5.4579E+00  -4.4780E+00
  3.1620E+04   2.3700E-03   1.0773E+01  -9.1187E+00   2.5358E+00  -4.5203E+00  -3.2506E+00
  3.1620E+04   3.1600E-03   9.7008E+00  -7.8679E+00   2.1058E+00  -3.7477E+00  -2.3070E+00
  3.1620E+04   4.2200E-03   8.7307E+00  -6.7734E+00   1.7236E+00  -3.1081E+00  -1.5882E+00
  3.1620E+04   5.6200E-03   7.8672E+00  -5.8288E+00   1.3905E+00  -2.5829E+00  -1.0542E+00
  3.1620E+04   7.5000E-03   7.0857E+00  -4.9984E+00   1.0974E+00  -2.1407E+00  -6.5607E-01
  3.1620E+04   1.0000E-02   6.3854E+00  -4.2752E+00   8.4450E-01  -1.7688E+00  -3.6813E-01
  3.1620E+04   1.3300E-02   5.7596E+00  -3.6472E+00   6.3026E-01  -1.4542E+00  -1.6617E-01
  3.1620E+04   1.7800E-02   5.1806E+00  -3.0844E+00   4.4685E-01  -1.1769E+00  -2.6242E-02
  3.1620E+04   2.3700E-02   4.6610E+00  -2.5985E+00   2.9997E-01  -9.3990E-01   6.0798E-02
  3.1620E+04   3.1600E-02   4.1764E+00  -2.1678E+00   1.8400E-01  -7.3119E-01   1.0977E-01
  3.1620E+04   4.2200E-02   3.7149E+00  -1.7849E+00   9.7420E-02  -5.4791E-01   1.2956E-01
  3.1620E+04   5.6200E-02   3.2706E+00  -1.4488E+00   3.8789E-02  -3.9172E-01   1.2762E-01
  3.1620E+04   7.5000E-02   2.8243E+00  -1.1482E+00   3.3923E-03  -2.6076E-01   1.1056E-01
  3.1620E+04   1.0000E-01   2.3718E+00  -8.8225E-01  -1.3036E-02  -1.5819E-01   8.4612E-02
  3.1620E+04   1.3300E-01   1.9134E+00  -6.4908E-01  -1.6355E-02  -8.4924E-02   5.6162E-02
  3.1620E+04   1.7800E-01   1.4419E+00  -4.4162E-01  -1.2468E-02  -3.7576E-02   3.0328E-02
  3.1620E+04   2.3700E-01   9.9482E-01  -2.7100E-01  -6.6854E-03  -1.3135E-02   1.2558E-02
  3.1620E+04   3.1600E-01   5.9238E-01  -1.3897E-01  -2.3217E-03  -3.1388E-03   3.4165E-03
  3.1620E+04   4.2200E-01   2.7430E-01  -5.2502E-02  -4.0092E-04  -3.9144E-04   4.7193E-04
  3.1620E+04   5.6200E-01   7.9486E-02  -1.1441E-02  -1.7470E-05  -1.2740E-05   2.1307E-05
  3.1620E+04   7.5000E-01   6.7236E-03  -6.1221E-04   6.3964E-08   1.0591E-08   7.3588E-08
  3.1620E+04   1.0000E+00  -8.8609E-07   9.9873E-08   6.4736E-10   4.0618E-10  -1.3760E-10
  1.0000E+05   1.0000E-05   9.2533E+01  -1.5398E+02   4.6006E+01  -2.3963E+02  -4.6793E+02
  1.0000E+05   1.3300E-05   8.0566E+01  -1.3330E+02   3.7939E+01  -1.9332E+02  -3.7006E+02
  1.0000E+05   1.7800E-05   7.0515E+01  -1.1499E+02   3.1524E+01  -1.5531E+02  -2.9092E+02
  1.0000E+05   2.3700E-05   6.2296E+01  -9.9412E+01   2.6570E+01  -1.2532E+02  -2.2946E+02
  1.0000E+05   3.1600E-05   5.5318E+01  -8.5866E+01   2.2600E+01  -1.0106E+02  -1.8057E+02
  1.0000E+05   4.2200E-05   4.9322E+01  -7.4096E+01   1.9373E+01  -8.1463E+01  -1.4171E+02
  1.0000E+05   5.6200E-05   4.4185E+01  -6.4026E+01   1.6750E+01  -6.5846E+01  -1.1130E+02
  1.0000E+05   7.5000E-05   3.9662E+01  -5.5266E+01   1.4548E+01  -5.3184E+01  -8.7106E+01
  1.0000E+05   1.0000E-04   3.5685E+01  -4.7729E+01   1.2690E+01  -4.3026E+01  -6.8074E+01
  1.0000E+05   1.3300E-04   3.2180E+01  -4.1275E+01   1.1110E+01  -3.4910E+01  -5.3182E+01
  1.0000E+05   1.7800E-04   2.8978E+01  -3.5584E+01   9.7078E+00  -2.8232E+01  -4.1200E+01
  1.0000E+05   2.3700E-04   2.6155E+01  -3.0761E+01   8.5007E+00  -2.2949E+01  -3.1950E+01
  1.0000E+05   3.1600E-04   2.3597E+01  -2.6573E+01   7.4281E+00  -1.8666E+01  -2.4646E+01
  1.0000E+05   4.2200E-04   2.1274E+01  -2.2937E+01   6.4695E+00  -1.5193E+01  -1.8891E+01
  1.0000E+05   5.6200E-04   1.9192E+01  -1.9825E+01   5.6220E+00  -1.2415E+01  -1.4432E+01
  1.0000E+05   7.5000E-04   1.7294E+01  -1.7114E+01   4.8581E+00  -1.0152E+01  -1.0927E+01
  1.0000E+05   1.0000E-03   1.5581E+01  -1.4776E+01   4.1762E+00  -8.3251E+00  -8.2096E+00
  1.0000E+05   1.3300E-03   1.4043E+01  -1.2768E+01   3.5708E+00  -6.8545E+00  -6.1191E+00
  1.0000E+05   1.7800E-03   1.2623E+01  -1.0990E+01   3.0179E+00  -5.6325E+00  -4.4710E+00
  1.0000E+05   2.3700E-03   1.1362E+01  -9.4756E+00   2.5337E+00  -4.6538E+00  -3.2299E+00
  1.0000E+05   3.1600E-03   1.0219E+01  -8.1544E+00   2.1013E+00  -3.8477E+00  -2.2785E+00
  1.0000E+05   4.2200E-03   9.1839E+00  -7.0005E+00   1.7167E+00  -3.1807E+00  -1.5561E+00
  1.0000E+05   5.6200E-03   8.2606E+00  -6.0067E+00   1.3818E+00  -2.6336E+00  -1.0216E+00
  1.0000E+05   7.5000E-03   7.4234E+00  -5.1349E+00   1.0874E+00  -2.1735E+00  -6.2523E-01
  1.0000E+05   1.0000E-02   6.6719E+00  -4.3773E+00   8.3406E-01  -1.7874E+00  -3.4046E-01
  1.0000E+05   1.3300E-02   5.9990E+00  -3.7211E+00   6.2017E-01  -1.4616E+00  -1.4250E-01
  1.0000E+05   1.7800E-02   5.3752E+00  -3.1346E+00   4.3784E-01  -1.1757E+00  -7.0862E-03
  1.0000E+05   2.3700E-02   4.8144E+00  -2.6296E+00   2.9261E-01  -9.3260E-01   7.5447E-02
  1.0000E+05   3.1600E-02   4.2912E+00  -2.1836E+00   1.7866E-01  -7.2007E-01   1.2009E-01
  1.0000E+05   4.2200E-02   3.7936E+00  -1.7887E+00   9.4204E-02  -5.3505E-01   1.3595E-01
  1.0000E+05   5.6200E-02   3.3167E+00  -1.4437E+00   3.7479E-02  -3.7902E-01   1.3076E-01
  1.0000E+05   7.5000E-02   2.8413E+00  -1.1368E+00   3.5513E-03  -2.4974E-01   1.1124E-01
  1.0000E+05   1.0000E-01   2.3647E+00  -8.6707E-01  -1.2017E-02  -1.4981E-01   8.3785E-02
  1.0000E+05   1.3300E-01   1.8887E+00  -6.3251E-01  -1.5086E-02  -7.9429E-02   5.4771E-02
  1.0000E+05   1.7800E-01   1.4070E+00  -4.2595E-01  -1.1411E-02  -3.4646E-02   2.9116E-02
  1.0000E+05   2.3700E-01   9.5820E-01  -2.5825E-01  -6.0464E-03  -1.1913E-02   1.1868E-02
  1.0000E+05   3.1600E-01   5.6186E-01  -1.3050E-01  -2.0637E-03  -2.7873E-03   3.1789E-03
  1.0000E+05   4.2200E-01   2.5522E-01  -4.8401E-02  -3.4612E-04  -3.3588E-04   4.3388E-04
  1.0000E+05   5.6200E-01   7.2085E-02  -1.0291E-02  -1.3936E-05  -9.8331E-06   1.9721E-05
  1.0000E+05   7.5000E-01   5.8492E-03  -5.2891E-04   7.2929E-08   2.4355E-08   7.6918E-08
  1.0000E+05   1.0000E+00  -9.0139E-07   8.0202E-08   6.5788E-10   3.8590E-10  -9.6492E-11
