solid_PVDIS_ec_forwardangle_real_layer_15  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_15  |                               0*cm 0*cm -18.48*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_16  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_16  |                              0*cm 0*cm -18.256*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_17  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_17  |                              0*cm 0*cm -18.032*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_18  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_18  |                              0*cm 0*cm -17.808*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_19  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_19  |                              0*cm 0*cm -17.584*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_20  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_20  |                               0*cm 0*cm -17.36*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_21  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_21  |                              0*cm 0*cm -17.136*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_22  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_22  |                              0*cm 0*cm -16.912*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_23  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_23  |                              0*cm 0*cm -16.688*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_24  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_24  |                              0*cm 0*cm -16.464*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_25  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_25  |                               0*cm 0*cm -16.24*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_26  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_26  |                              0*cm 0*cm -16.016*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_27  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_27  |                              0*cm 0*cm -15.792*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_28  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_28  |                              0*cm 0*cm -15.568*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_29  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_29  |                              0*cm 0*cm -15.344*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_30  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_30  |                               0*cm 0*cm -15.12*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_31  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_31  |                              0*cm 0*cm -14.896*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_32  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_32  |                              0*cm 0*cm -14.672*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_33  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_33  |                              0*cm 0*cm -14.448*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_34  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_34  |                              0*cm 0*cm -14.224*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
