solid_solenoid_kill_UpstreamShield4  |                root  |solid_solenoid_kill_UpstreamShield4  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | F63BFF   |            Polycone  |0*deg 360*deg 2*counts 36.80*cm 38.80*cm 257.50*cm 257.50*cm -274.50*cm -270.50*cm  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_solenoid_kill_UpstreamShield5  |                root  |solid_solenoid_kill_UpstreamShield5  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | F63BFF   |            Polycone  |0*deg 360*deg 2*counts 33.90*cm 35.30*cm 257.50*cm 257.50*cm -280.50*cm -277.50*cm  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_solenoid_kill_CryostatInner  |                root  |solid_solenoid_kill_CryostatInner  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | ffffff   |                Tube  |                        144*cm 144.1*cm 187*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_solenoid_kill_CryostatOuter  |                root  |solid_solenoid_kill_CryostatOuter  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | ffffff   |                Tube  |                    176.48*cm 176.59*cm 187*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_solenoid_kill_CryostatFlangeUpstream  |                root  |solid_solenoid_kill_CryostatFlangeUpstream  |                                 0*cm 0*cm -188*cm  |                       0*deg 0*deg 0*deg  | ffffff   |                Tube  |                     144*cm 176.59*cm 0.995*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_solenoid_kill_CryostatFlangeDownstream  |                root  |solid_solenoid_kill_CryostatFlangeDownstream  |                                  0*cm 0*cm 188*cm  |                       0*deg 0*deg 0*deg  | ffffff   |                Tube  |                     144*cm 176.59*cm 0.995*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plateinner1  |                root  |solid_PVDIS_baffle_babarbafflemore1_kill_plateinner1  |                                   0*cm 0*cm 40*cm  |                       0*deg 0*deg 0*deg  | 00C0C0   |                Tube  |                         3.89*cm 3.9*cm 4.5*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plateinner2  |                root  |solid_PVDIS_baffle_babarbafflemore1_kill_plateinner2  |                                   0*cm 0*cm 54*cm  |                       0*deg 0*deg 0*deg  | 00C0C0   |                Tube  |                        8.95*cm 9.62*cm 4.5*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plateinner3  |                root  |solid_PVDIS_baffle_babarbafflemore1_kill_plateinner3  |                                   0*cm 0*cm 68*cm  |                       0*deg 0*deg 0*deg  | 00C0C0   |                Tube  |                          14*cm 15.3*cm 4.5*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plateinner4  |                root  |solid_PVDIS_baffle_babarbafflemore1_kill_plateinner4  |                                   0*cm 0*cm 82*cm  |                       0*deg 0*deg 0*deg  | 00C0C0   |                Tube  |                       18.5*cm 20.92*cm 4.5*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
