   solid_SIDIS_gem_1  |                root  |             solid_SIDIS_gem_1  |                                 0*cm 0*cm -175*cm  |                       0*deg 0*deg 0*deg  | 111111   |                Tube  |                         36*cm 87*cm 4.8905*mm 0*deg 360*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                       id manual 1100000 
solid_SIDIS_gem_1_1_15  |   solid_SIDIS_gem_1  |        solid_SIDIS_gem_1_1_15  |                              0*cm 0*cm -4.8305*mm  |                    0*deg 0*deg -182*deg  | 00ff00   |                Tube  |                           36*cm 87*cm 0.06*mm -5*deg 10*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                          id manual 1601 
solid_SIDIS_gem_1_1_16  |   solid_SIDIS_gem_1  |        solid_SIDIS_gem_1_1_16  |                              0*cm 0*cm -4.8305*mm  |                    0*deg 0*deg -194*deg  | 00ff00   |                Tube  |                           36*cm 87*cm 0.06*mm -5*deg 10*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                          id manual 1701 
solid_SIDIS_gem_1_1_17  |   solid_SIDIS_gem_1  |        solid_SIDIS_gem_1_1_17  |                              0*cm 0*cm -4.8305*mm  |                    0*deg 0*deg -206*deg  | 00ff00   |                Tube  |                           36*cm 87*cm 0.06*mm -5*deg 10*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                          id manual 1801 
solid_SIDIS_gem_1_1_18  |   solid_SIDIS_gem_1  |        solid_SIDIS_gem_1_1_18  |                              0*cm 0*cm -4.8305*mm  |                    0*deg 0*deg -218*deg  | 00ff00   |                Tube  |                           36*cm 87*cm 0.06*mm -5*deg 10*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                          id manual 1901 
solid_SIDIS_gem_1_1_19  |   solid_SIDIS_gem_1  |        solid_SIDIS_gem_1_1_19  |                              0*cm 0*cm -4.8305*mm  |                    0*deg 0*deg -230*deg  | 00ff00   |                Tube  |                           36*cm 87*cm 0.06*mm -5*deg 10*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                          id manual 2001 
solid_SIDIS_gem_1_1_20  |   solid_SIDIS_gem_1  |        solid_SIDIS_gem_1_1_20  |                              0*cm 0*cm -4.8305*mm  |                    0*deg 0*deg -242*deg  | 00ff00   |                Tube  |                           36*cm 87*cm 0.06*mm -5*deg 10*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                          id manual 2101 
solid_SIDIS_gem_1_1_21  |   solid_SIDIS_gem_1  |        solid_SIDIS_gem_1_1_21  |                              0*cm 0*cm -4.8305*mm  |                    0*deg 0*deg -254*deg  | 00ff00   |                Tube  |                           36*cm 87*cm 0.06*mm -5*deg 10*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                          id manual 2201 
solid_SIDIS_gem_1_1_22  |   solid_SIDIS_gem_1  |        solid_SIDIS_gem_1_1_22  |                              0*cm 0*cm -4.8305*mm  |                    0*deg 0*deg -266*deg  | 00ff00   |                Tube  |                           36*cm 87*cm 0.06*mm -5*deg 10*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                          id manual 2301 
solid_SIDIS_gem_1_1_23  |   solid_SIDIS_gem_1  |        solid_SIDIS_gem_1_1_23  |                              0*cm 0*cm -4.8305*mm  |                    0*deg 0*deg -278*deg  | 00ff00   |                Tube  |                           36*cm 87*cm 0.06*mm -5*deg 10*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                          id manual 2401 
solid_SIDIS_gem_1_1_24  |   solid_SIDIS_gem_1  |        solid_SIDIS_gem_1_1_24  |                              0*cm 0*cm -4.8305*mm  |                    0*deg 0*deg -290*deg  | 00ff00   |                Tube  |                           36*cm 87*cm 0.06*mm -5*deg 10*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                          id manual 2501 
solid_SIDIS_gem_1_1_25  |   solid_SIDIS_gem_1  |        solid_SIDIS_gem_1_1_25  |                              0*cm 0*cm -4.8305*mm  |                    0*deg 0*deg -302*deg  | 00ff00   |                Tube  |                           36*cm 87*cm 0.06*mm -5*deg 10*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                          id manual 2601 
solid_SIDIS_gem_1_1_26  |   solid_SIDIS_gem_1  |        solid_SIDIS_gem_1_1_26  |                              0*cm 0*cm -4.8305*mm  |                    0*deg 0*deg -314*deg  | 00ff00   |                Tube  |                           36*cm 87*cm 0.06*mm -5*deg 10*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                          id manual 2701 
solid_SIDIS_gem_1_1_27  |   solid_SIDIS_gem_1  |        solid_SIDIS_gem_1_1_27  |                              0*cm 0*cm -4.8305*mm  |                    0*deg 0*deg -326*deg  | 00ff00   |                Tube  |                           36*cm 87*cm 0.06*mm -5*deg 10*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                          id manual 2801 
solid_SIDIS_gem_1_1_28  |   solid_SIDIS_gem_1  |        solid_SIDIS_gem_1_1_28  |                              0*cm 0*cm -4.8305*mm  |                    0*deg 0*deg -338*deg  | 00ff00   |                Tube  |                           36*cm 87*cm 0.06*mm -5*deg 10*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                          id manual 2901 
solid_SIDIS_gem_1_1_29  |   solid_SIDIS_gem_1  |        solid_SIDIS_gem_1_1_29  |                              0*cm 0*cm -4.8305*mm  |                    0*deg 0*deg -350*deg  | 00ff00   |                Tube  |                           36*cm 87*cm 0.06*mm -5*deg 10*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                          id manual 3001 
solid_SIDIS_gem_1_2_0  |   solid_SIDIS_gem_1  |         solid_SIDIS_gem_1_2_0  |                               0*cm 0*cm -4.769*mm  |                      0*deg 0*deg -2*deg  | ffse14   |                Tube  |                         36*cm 87*cm 0.0015*mm -5*deg 10*deg  |        SL_gem_NOMEX  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                           id manual 102 
solid_SIDIS_gem_1_2_1  |   solid_SIDIS_gem_1  |         solid_SIDIS_gem_1_2_1  |                               0*cm 0*cm -4.769*mm  |                     0*deg 0*deg -14*deg  | ffse14   |                Tube  |                         36*cm 87*cm 0.0015*mm -5*deg 10*deg  |        SL_gem_NOMEX  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                           id manual 202 
solid_SIDIS_gem_1_2_2  |   solid_SIDIS_gem_1  |         solid_SIDIS_gem_1_2_2  |                               0*cm 0*cm -4.769*mm  |                     0*deg 0*deg -26*deg  | ffse14   |                Tube  |                         36*cm 87*cm 0.0015*mm -5*deg 10*deg  |        SL_gem_NOMEX  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                           id manual 302 
